,Date.x,state,Confirmed,Deaths,Recovered,lat,long
212,7/03/2020,Moscow,5,0,0,55.753215,37.622504
213,7/03/2020,Moscow,5,0,0,55.753215,37.622504
214,7/03/2020,Moscow,5,0,0,55.753215,37.622504
215,7/03/2020,Moscow,5,0,0,55.753215,37.622504
216,7/03/2020,Moscow,5,0,0,55.753215,37.622504
217,7/03/2020,Moscow,5,0,0,55.753215,37.622504
218,7/03/2020,Moscow,5,0,0,55.753215,37.622504
219,7/03/2020,Moscow,5,0,0,55.753215,37.622504
220,7/03/2020,Moscow,5,0,0,55.753215,37.622504
221,7/03/2020,Moscow,5,0,0,55.753215,37.622504
222,7/03/2020,Moscow,5,0,0,55.753215,37.622504
223,7/03/2020,Moscow,5,0,0,55.753215,37.622504
224,7/03/2020,Moscow,5,0,0,55.753215,37.622504
225,7/03/2020,Moscow,5,0,0,55.753215,37.622504
226,7/03/2020,Moscow,5,0,0,55.753215,37.622504
227,7/03/2020,Moscow,5,0,0,55.753215,37.622504
228,7/03/2020,Moscow,5,0,0,55.753215,37.622504
229,7/03/2020,Moscow,5,0,0,55.753215,37.622504
230,7/03/2020,Moscow,5,0,0,55.753215,37.622504
231,7/03/2020,Moscow,5,0,0,55.753215,37.622504
232,7/03/2020,Moscow,5,0,0,55.753215,37.622504
233,7/03/2020,Moscow,5,0,0,55.753215,37.622504
234,7/03/2020,Moscow,5,0,0,55.753215,37.622504
235,7/03/2020,Moscow,5,0,0,55.753215,37.622504
236,7/03/2020,Moscow,1,0,0,55.753215,37.622504
237,7/03/2020,Nizhny Novgorod Region,1,0,0,56.296505,43.936058
238,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
239,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
240,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
241,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
242,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
243,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
244,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
245,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
246,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
247,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
248,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
249,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
250,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
251,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
252,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
253,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
254,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
255,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
256,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
257,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
258,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
259,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
260,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
261,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
262,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
263,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
264,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
265,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
266,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
267,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
268,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
269,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
270,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
271,7/03/2020,St. Petersburg,1,0,0,59.938951,30.315635
